FIRE_YEAR,FIRE_NAME,FIRE_SIZE,rn
1992,FOOTHILLS,177544.0,1
1993,332557,215360.0,1
1994,RABBIT CREEK #1,146400.0,1
1995,TUANA,64193.0,1
1996,COX'S WELL,206202.6,1
1997,INOWAK,606945.0,1
1998,CIBLO CREEK FIRE,55375.0,1
1999,KEVINJIK,232828.0,1
2000,CLEAR CREEK,172135.0,1
2001,SURVEY LIN,112112.0,1
2002,BISCUIT,499945.0,1
2003,CEDAR,280059.0,1
2004,BOUNDARY,537627.0,1
2005,HUMBOLDT,248310.0,1
2006,HWY 152,479549.0,1
2007,MURPHY COMPLEX,367785.0,1
2008,GLASS,220000.0,1
2009,MINTO FLATS SOUTH,517078.0,1
2010,LONG BUTTE,306113.0,1
2011,WALLOW,538049.0,1
2012,LONG DRAW,558198.3,1
2013,RIM,255858.0,1
2014,SADDLE DRAW,280141.0,1
2015,15533 BIG CREEK 2,312918.3,1
