FIRE_YEAR,total_fires,total_acres,avg_size
1992,67975,2199958.001,32.3642221552041
1993,61989,2191696.003,35.3562084079433
1994,75955,4116675.529,54.198874715292
1995,71472,2049585.058,28.6767553447504
1996,75574,6005155.709,79.460604295128
1997,61450,3214635.31,52.3130237591538
1998,68370,2011102.40001,29.4149831799035
1999,89363,6080199.71529,68.0393419568502
2000,96416,7639498.644,79.2347602472619
2001,86587,3724072.304,43.0096007945766
2002,75656,6803258.397759,89.9235803870017
2003,68261,4483572.94576,65.6827902573944
2004,69279,8234208.17414,118.855759669452
2005,88604,9665105.12802,109.082040630446
2006,114004,10043497.91155,88.0977677235009
2007,95573,9265428.72815,96.9460907175667
2008,85378,5406532.10668,63.3246516278198
2009,78325,6057166.106714,77.3337517614299
2010,79889,3493455.21569,43.728863994918
2011,90552,9623597.2875,106.277026321892
2012,72769,9439888.452,129.724037048743
2013,64780,4492502.41491,69.350145336678
2014,67753,3673490.392712,54.2188595739229
2015,74491,10218267.6178,137.174526020593
